group_id: [48,51]

Description: C2 x C2 x C2 x S3

   Subgroups           rho
  1                   1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C2                  1
  C3                  1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C2 x C2             1
  C6                  1
  S3                  1
  S3                  1
  S3                  1
  S3                  1
  S3                  1
  C6                  1
  S3                  1
  C6                  1
  S3                  1
  C6                  1
  S3                  1
  C6                  1
  C6                  1
  C6                  1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  C2 x C2 x C2        1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  C6 x C2             1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  D6                  1
  C6 x C2             1
  D6                  1
  C6 x C2             1
  D6                  1
  D6                  1
  C6 x C2             1
  D6                  1
  D6                  1
  D6                  1
  C6 x C2             1
  D6                  1
  D6                  1
  C6 x C2             1
  D6                  1
  D6                  1
  C6 x C2             1
  C2 x C2 x C2 x C2   1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C6 x C2 x C2        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x S3        1
  C2 x C2 x C2 x S3   1
