group_id: [64,186]

Description: C2 x D16

   Subgroups      rho
  1              1
  C2             1
  C2             1
  C2             1
  C2             1
  C2             1
  C2             1
  C2             1
  C2 x C2        1
  C2 x C2        1
  C2 x C2        1
  C2 x C2        1
  C4             1
  C2 x C2        1
  C2 x C2        1
  C2 x C2        1
  C2 x C2        1
  C4             1
  C2 x C2        1
  C2 x C2 x C2   1
  D4             1
  D4             1
  D4             1
  D4             1
  C4 x C2        1
  C8             1
  D4             1
  C2 x C2 x C2   1
  C8             1
  D4             1
  C2 x D4        1
  C16            1
  D8             1
  C16            1
  D8             1
  D8             1
  C8 x C2        1
  D8             1
  D8             1
  D8             1
  C2 x D4        1
  D16            1
  C2 x D8        1
  D16            1
  D16            1
  D16            1
  C16 x C2       1
  C2 x D8        1
  C2 x D16       1
