group_id: [96,188]

Description: C2 x (C2 . S4 = SL(2,3) . C2)

   Subgroups                       rho
  1                               1
  C2                              1
  C2                              1
  C2                              1
  C3                              1
  C4                              2
  C4                              1
  C4                              1
  C4                              1
  C2 x C2                         1
  C6                              1
  C6                              1
  C6                              1
  C4 x C2                         2
  Q8                              1
  Q8                              1
  C8                              1
  Q8                              1
  Q8                              1
  Q8                              1
  C8                              1
  C4 x C2                         1
  C3 : C4                         1
  C6 x C2                         1
  C3 : C4                         1
  C2 x Q8                         1
  C2 x Q8                         1
  Q16                             1
  Q16                             1
  Q16                             1
  Q16                             1
  C8 x C2                         1
  C2 x (C3 : C4)                  1
  SL(2,3)                         1
  C2 x Q16                        1
  C2 . S4 = SL(2,3) . C2          1
  C2 x SL(2,3)                    1
  C2 . S4 = SL(2,3) . C2          1
  C2 x (C2 . S4 = SL(2,3) . C2)   1
