group_id: [136,14]

Description: C2 x C2 x D17

   Subgroups       rho
  1               1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C2              1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2         1
  C2 x C2 x C2    1
  C17             1
  C34             1
  C34             1
  C34             1
  D17             1
  D17             1
  D17             1
  D17             1
  D34             1
  C34 x C2        1
  D34             1
  D34             1
  D34             1
  D34             1
  D34             1
  C2 x C2 x D17   1
