group_id: [144,115]

Description: (C3 x C3) : ((C4 x C2) : C2)

   Subgroups                      rho
  1                              1
  C2                             1
  C2                             1
  C2                             1
  C2                             1
  C2                             1
  C3                             1
  C3                             1
  C4                             1
  C4                             1
  C2 x C2                        1
  C2 x C2                        1
  C2 x C2                        1
  C2 x C2                        1
  C2 x C2                        1
  C6                             1
  S3                             1
  C6                             1
  S3                             1
  C6                             1
  C6                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  C4 x C2                        1
  C4 x C2                        1
  C2 x C2 x C2                   1
  C3 x C3                        1
  D6                             1
  D6                             1
  C6 x C2                        1
  C3 : C4                        1
  C12                            1
  D6                             1
  D6                             1
  D6                             1
  D6                             1
  D6                             1
  (C4 x C2) : C2                 1
  C3 x S3                        1
  (C3 x C3) : C2                 1
  C3 x S3                        1
  (C3 x C3) : C2                 1
  C6 x C3                        1
  C2 x C2 x S3                   1
  C4 x S3                        1
  S3 x S3                        1
  S3 x S3                        1
  C3 x (C3 : C4)                 1
  C2 x ((C3 x C3) : C2)          1
  (C3 x C3) : C4                 1
  C6 x S3                        1
  S3 x S3                        1
  C2 x S3 x S3                   1
  (C3 x C3) : (C4 x C2)          1
  C2 x ((C3 x C3) : C4)          1
  (C3 x C3) : ((C4 x C2) : C2)   1
