group_id: [144,155]

Description: C12 x A4

   Subgroups       rho
  1               1
  C2              1
  C2              2
  C2              1
  C3              1
  C3              1
  C3              1
  C3              1
  C4              1
  C2 x C2         2
  C4              1
  C2 x C2         1
  C2 x C2         1
  C6              1
  C6              1
  C6              1
  C6              1
  C6              2
  C6              1
  C4 x C2         1
  C4 x C2         2
  C2 x C2 x C2    1
  C3 x C3         1
  C12             1
  C6 x C2         2
  A4              1
  A4              1
  C12             1
  C12             1
  C6 x C2         1
  C6 x C2         1
  A4              1
  C12             1
  C12             1
  C4 x C2 x C2    1
  C6 x C3         1
  C2 x A4         1
  C12 x C2        1
  C6 x C2 x C2    1
  C12 x C2        2
  C2 x A4         1
  C2 x A4         1
  C12 x C3        1
  C3 x A4         1
  C12 x C2 x C2   1
  C4 x A4         1
  C4 x A4         1
  C4 x A4         1
  C6 x A4         1
  C12 x A4        1
