group_id: [150,10]

Description: C5 x C5 x S3

   Subgroups      rho
  1              1
  C2             1
  C3             1
  C5             1
  C5             1
  C5             1
  C5             1
  C5             1
  C5             1
  S3             1
  C10            1
  C10            1
  C10            1
  C10            1
  C10            1
  C10            1
  C15            1
  C15            1
  C15            1
  C15            1
  C15            1
  C15            1
  C5 x C5        1
  C5 x S3        1
  C5 x S3        1
  C5 x S3        1
  C5 x S3        1
  C5 x S3        1
  C5 x S3        1
  C10 x C5       1
  C15 x C5       1
  C5 x C5 x S3   1
