group_id: [162,46]

Description: (C3 x ((C3 x C3) : C3)) : C2

   Subgroups                      rho
  1                              1
  C2                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  C3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  S3                             1
  C6                             1
  S3                             1
  S3                             1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x C3                        1
  C3 x S3                        1
  C3 x S3                        1
  C3 x S3                        1
  C3 x S3                        1
  C3 x S3                        1
  (C3 x C3) : C2                 1
  C3 x S3                        1
  C3 x S3                        1
  C3 x S3                        1
  (C3 x C3) : C2                 1
  (C3 x C3) : C2                 1
  (C3 x C3) : C2                 1
  C3 x S3                        1
  C3 x S3                        1
  C3 x S3                        1
  C3 x S3                        1
  C3 x S3                        1
  (C3 x C3) : C3                 1
  C3 x C3 x C3                   1
  C3 x C3 x C3                   1
  C3 x C3 x C3                   1
  (C3 x C3) : C3                 1
  (C3 x C3) : C3                 1
  (C3 x C3) : C3                 1
  (C3 x C3) : C3                 1
  (C3 x C3) : C3                 1
  C3 x C3 x C3                   1
  (C3 x C3) : C3                 1
  (C3 x C3) : C3                 1
  (C3 x C3) : C3                 1
  ((C3 x C3) : C3) : C2          1
  ((C3 x C3) : C3) : C2          1
  C3 x ((C3 x C3) : C2)          1
  C3 x ((C3 x C3) : C2)          1
  C3 x ((C3 x C3) : C2)          1
  C3 x ((C3 x C3) : C2)          1
  ((C3 x C3) : C3) : C2          1
  ((C3 x C3) : C3) : C2          1
  ((C3 x C3) : C3) : C2          1
  ((C3 x C3) : C3) : C2          1
  ((C3 x C3) : C3) : C2          1
  ((C3 x C3) : C3) : C2          1
  ((C3 x C3) : C3) : C2          1
  C3 x ((C3 x C3) : C3)          1
  (C3 x ((C3 x C3) : C3)) : C2   1
