group_id: [168,10]

Description: C2 x (C7 : C12)

   Subgroups             rho
  1                     1
  C2                    1
  C2                    1
  C2                    1
  C3                    1
  C4                    1
  C2 x C2               1
  C4                    1
  C6                    1
  C6                    1
  C6                    1
  C7                    1
  C4 x C2               1
  C12                   1
  C6 x C2               1
  C12                   1
  C14                   1
  C14                   1
  C14                   1
  C7 : C3               1
  C12 x C2              1
  C7 : C4               1
  C14 x C2              1
  C7 : C4               1
  C2 x (C7 : C3)        1
  C2 x (C7 : C3)        1
  C2 x (C7 : C3)        1
  C2 x (C7 : C4)        1
  C7 : C12              1
  C2 x C2 x (C7 : C3)   1
  C7 : C12              1
  C2 x (C7 : C12)       1
