group_id: [128,69]

Description: Q8 : C16

   Subgroups   rho
  1           1
  C2          1
  C2          1
  C2          1
  C4          1
  C2 x C2     1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C8          1
  C4 x C2     1
  C8          1
  Q8          1
  C4 x C2     1
  C8          1
  C4 x C2     1
  C8          1
  Q8          1
  C4 x C2     1
  Q8          1
  C4 x C2     1
  C4 x C4     1
  C4 : C4     1
  C16         1
  C4 x C4     1
  C8 x C2     1
  C4 : C4     1
  C8 x C2     1
  C16         1
  C8 x C2     1
  C2 x Q8     1
  C16         1
  C4 x Q8     1
  C4 : C8     1
  C8 x C4     1
  C8 x C4     1
  C4 : C8     1
  C16 x C2    1
  C16 x C2    1
  C8 x Q8     1
  C16 x C4    1
  C4 : C16    1
  Q8 : C16    1
