group_id: [128,993]

Description: C2 x Q64

   Subgroups   rho
  1           1
  C2          1
  C2          1
  C2          1
  C4          1
  C4          1
  C4          1
  C2 x C2     1
  C4          1
  C4          1
  C4          1
  Q8          1
  Q8          1
  Q8          1
  C4 x C2     1
  Q8          1
  C4 x C2     1
  Q8          1
  C8          1
  Q8          1
  C8          1
  C4 x C2     1
  C8 x C2     1
  Q16         1
  Q16         1
  Q16         1
  Q16         1
  C16         1
  C2 x Q8     1
  C16         1
  Q16         1
  Q16         1
  C2 x Q8     1
  Q32         1
  C32         1
  Q32         1
  C2 x Q16    1
  Q32         1
  Q32         1
  Q32         1
  C16 x C2    1
  C32         1
  Q32         1
  C2 x Q16    1
  Q64         1
  C2 x Q32    1
  Q64         1
  Q64         1
  Q64         1
  C32 x C2    1
  C2 x Q32    1
  C2 x Q64    1
