group_id: [128,995]

Description: ((C16 x C2) : C2) : C2

   Subgroups                rho
  1                        1
  C2                       1
  C2                       1
  C2                       1
  C2                       1
  C2                       1
  C2 x C2                  1
  C4                       1
  C4                       1
  C4                       1
  C2 x C2                  1
  C2 x C2                  1
  C2 x C2                  1
  C2 x C2                  1
  C2 x C2                  1
  C2 x C2 x C2             1
  D4                       1
  C8                       1
  D4                       1
  C4 x C2                  1
  D4                       1
  C8                       1
  Q8                       1
  D4                       1
  C4 x C2                  1
  D4                       1
  D8                       1
  D8                       1
  C2 x D4                  1
  D8                       1
  QD16                     1
  C8 x C2                  1
  D8                       1
  C16                      1
  Q16                      1
  C16                      1
  (C4 x C2) : C2           1
  (C8 x C2) : C2           1
  QD32                     1
  C16 x C2                 1
  Q32                      1
  D16                      1
  C32                      1
  D16                      1
  C2 x D8                  1
  D16                      1
  D16                      1
  C32                      1
  D16 : C2                 1
  D32                      1
  QD64                     1
  QD64                     1
  C32 : C2                 1
  C2 x D16                 1
  D32                      1
  ((C16 x C2) : C2) : C2   1
