group_id: [168,21]

Description: Q8 x (C7 : C3)

   Subgroups        rho
  1                1
  C2               1
  C3               1
  C4               1
  C4               1
  C4               1
  C6               1
  C7               1
  Q8               1
  C12              1
  C12              1
  C12              1
  C14              1
  C7 : C3          1
  C3 x Q8          1
  C28              1
  C28              1
  C28              1
  C2 x (C7 : C3)   1
  C7 x Q8          1
  C4 x (C7 : C3)   1
  C4 x (C7 : C3)   1
  C4 x (C7 : C3)   1
  Q8 x (C7 : C3)   1
