group_id: [176,33]

Description: D11 x Q8

   Subgroups   rho
  1           1
  C2          1
  C2          1
  C2          1
  C4          1
  C4          1
  C4          1
  C4          1
  C4          1
  C2 x C2     1
  C4          1
  Q8          1
  Q8          1
  Q8          1
  C4 x C2     1
  Q8          1
  C4 x C2     1
  C4 x C2     1
  C11         1
  C2 x Q8     1
  D11         1
  D11         1
  C22         1
  C11 : C4    1
  C44         1
  C44         1
  D22         1
  C11 : C4    1
  C11 : C4    1
  C44         1
  C4 x D11    1
  C4 x D11    1
  C4 x D11    1
  C11 : Q8    1
  C11 : Q8    1
  C11 x Q8    1
  C11 : Q8    1
  D11 x Q8    1
