group_id: [180,9]

Description: C18 x D5

   Subgroups   rho
  1           1
  C2          1
  C2          1
  C2          1
  C3          1
  C2 x C2     1
  C5          1
  C6          1
  C6          1
  C6          1
  C9          1
  D5          1
  C10         1
  D5          1
  C6 x C2     1
  C15         1
  C18         1
  C18         1
  C18         1
  D10         1
  C3 x D5     1
  C30         1
  C3 x D5     1
  C18 x C2    1
  C45         1
  C6 x D5     1
  C9 x D5     1
  C90         1
  C9 x D5     1
  C18 x D5    1
